v9,v8,v7,v6,v5,v4,v3,v2,v1,v0,Detection
0.007,0.02,0.027,0.019,0.003,0.008,-0.005,-0.02,-0.043,-0.041,0.0
0.02,0.027,0.019,0.003,0.008,-0.005,-0.02,-0.043,-0.041,-0.044,0.0
0.027,0.019,0.003,0.008,-0.005,-0.02,-0.043,-0.041,-0.044,-0.045,0.0
0.019,0.003,0.008,-0.005,-0.02,-0.043,-0.041,-0.044,-0.045,-0.048,0.0
0.003,0.008,-0.005,-0.02,-0.043,-0.041,-0.044,-0.045,-0.048,-0.025,0.0
0.008,-0.005,-0.02,-0.043,-0.041,-0.044,-0.045,-0.048,-0.025,-0.017,0.0
-0.005,-0.02,-0.043,-0.041,-0.044,-0.045,-0.048,-0.025,-0.017,-0.03,0.0
-0.02,-0.043,-0.041,-0.044,-0.045,-0.048,-0.025,-0.017,-0.03,-0.031,0.0
-0.043,-0.041,-0.044,-0.045,-0.048,-0.025,-0.017,-0.03,-0.031,0.003,0.0
-0.041,-0.044,-0.045,-0.048,-0.025,-0.017,-0.03,-0.031,0.003,0.031,0.0
-0.044,-0.045,-0.048,-0.025,-0.017,-0.03,-0.031,0.003,0.031,0.012,0.0
-0.045,-0.048,-0.025,-0.017,-0.03,-0.031,0.003,0.031,0.012,-0.003,0.0
-0.048,-0.025,-0.017,-0.03,-0.031,0.003,0.031,0.012,-0.003,0.0,0.0
-0.025,-0.017,-0.03,-0.031,0.003,0.031,0.012,-0.003,0.0,0.005,0.0
-0.017,-0.03,-0.031,0.003,0.031,0.012,-0.003,0.0,0.005,0.003,0.0
-0.03,-0.031,0.003,0.031,0.012,-0.003,0.0,0.005,0.003,-0.008,0.0
-0.031,0.003,0.031,0.012,-0.003,0.0,0.005,0.003,-0.008,-0.014,0.0
0.003,0.031,0.012,-0.003,0.0,0.005,0.003,-0.008,-0.014,-0.008,0.0
0.031,0.012,-0.003,0.0,0.005,0.003,-0.008,-0.014,-0.008,-0.008,0.0
0.012,-0.003,0.0,0.005,0.003,-0.008,-0.014,-0.008,-0.008,-0.018,0.0
-0.003,0.0,0.005,0.003,-0.008,-0.014,-0.008,-0.008,-0.018,-0.002,0.0
0.0,0.005,0.003,-0.008,-0.014,-0.008,-0.008,-0.018,-0.002,-0.003,0.0
0.005,0.003,-0.008,-0.014,-0.008,-0.008,-0.018,-0.002,-0.003,0.012,0.0
0.003,-0.008,-0.014,-0.008,-0.008,-0.018,-0.002,-0.003,0.012,-0.007,0.0
-0.008,-0.014,-0.008,-0.008,-0.018,-0.002,-0.003,0.012,-0.007,-0.001,0.0
-0.014,-0.008,-0.008,-0.018,-0.002,-0.003,0.012,-0.007,-0.001,-0.016,0.0
-0.008,-0.008,-0.018,-0.002,-0.003,0.012,-0.007,-0.001,-0.016,0.007,0.0
-0.008,-0.018,-0.002,-0.003,0.012,-0.007,-0.001,-0.016,0.007,-0.011,0.0
-0.018,-0.002,-0.003,0.012,-0.007,-0.001,-0.016,0.007,-0.011,-0.042,0.0
-0.002,-0.003,0.012,-0.007,-0.001,-0.016,0.007,-0.011,-0.042,-0.055,0.0
-0.003,0.012,-0.007,-0.001,-0.016,0.007,-0.011,-0.042,-0.055,-0.075,0.0
0.012,-0.007,-0.001,-0.016,0.007,-0.011,-0.042,-0.055,-0.075,-0.053,0.0
-0.007,-0.001,-0.016,0.007,-0.011,-0.042,-0.055,-0.075,-0.053,-0.069,0.0
-0.001,-0.016,0.007,-0.011,-0.042,-0.055,-0.075,-0.053,-0.069,-0.058,0.0
-0.016,0.007,-0.011,-0.042,-0.055,-0.075,-0.053,-0.069,-0.058,-0.063,0.0
0.007,-0.011,-0.042,-0.055,-0.075,-0.053,-0.069,-0.058,-0.063,-0.034,0.0
-0.011,-0.042,-0.055,-0.075,-0.053,-0.069,-0.058,-0.063,-0.034,-0.037,0.0
-0.042,-0.055,-0.075,-0.053,-0.069,-0.058,-0.063,-0.034,-0.037,-0.021,0.0
-0.055,-0.075,-0.053,-0.069,-0.058,-0.063,-0.034,-0.037,-0.021,-0.017,0.0
-0.075,-0.053,-0.069,-0.058,-0.063,-0.034,-0.037,-0.021,-0.017,-0.023,0.0
-0.053,-0.069,-0.058,-0.063,-0.034,-0.037,-0.021,-0.017,-0.023,-0.004,0.0
-0.069,-0.058,-0.063,-0.034,-0.037,-0.021,-0.017,-0.023,-0.004,-0.019,0.0
-0.058,-0.063,-0.034,-0.037,-0.021,-0.017,-0.023,-0.004,-0.019,-0.022,0.0
-0.063,-0.034,-0.037,-0.021,-0.017,-0.023,-0.004,-0.019,-0.022,-0.019,0.0
-0.034,-0.037,-0.021,-0.017,-0.023,-0.004,-0.019,-0.022,-0.019,-0.048,0.0
-0.037,-0.021,-0.017,-0.023,-0.004,-0.019,-0.022,-0.019,-0.048,-0.068,0.0
-0.021,-0.017,-0.023,-0.004,-0.019,-0.022,-0.019,-0.048,-0.068,-0.078,0.0
-0.017,-0.023,-0.004,-0.019,-0.022,-0.019,-0.048,-0.068,-0.078,-0.086,0.0
-0.023,-0.004,-0.019,-0.022,-0.019,-0.048,-0.068,-0.078,-0.086,-0.065,0.0
-0.004,-0.019,-0.022,-0.019,-0.048,-0.068,-0.078,-0.086,-0.065,-0.066,0.0
-0.019,-0.022,-0.019,-0.048,-0.068,-0.078,-0.086,-0.065,-0.066,-0.07,0.0
-0.022,-0.019,-0.048,-0.068,-0.078,-0.086,-0.065,-0.066,-0.07,-0.076,0.0
-0.019,-0.048,-0.068,-0.078,-0.086,-0.065,-0.066,-0.07,-0.076,-0.074,0.0
-0.048,-0.068,-0.078,-0.086,-0.065,-0.066,-0.07,-0.076,-0.074,-0.071,0.0
-0.068,-0.078,-0.086,-0.065,-0.066,-0.07,-0.076,-0.074,-0.071,-0.055,0.0
-0.078,-0.086,-0.065,-0.066,-0.07,-0.076,-0.074,-0.071,-0.055,-0.07,0.0
-0.086,-0.065,-0.066,-0.07,-0.076,-0.074,-0.071,-0.055,-0.07,-0.068,0.0
-0.065,-0.066,-0.07,-0.076,-0.074,-0.071,-0.055,-0.07,-0.068,-0.046,0.0
-0.066,-0.07,-0.076,-0.074,-0.071,-0.055,-0.07,-0.068,-0.046,-0.066,0.0
-0.07,-0.076,-0.074,-0.071,-0.055,-0.07,-0.068,-0.046,-0.066,-0.063,0.0
-0.076,-0.074,-0.071,-0.055,-0.07,-0.068,-0.046,-0.066,-0.063,-0.073,0.0
-0.074,-0.071,-0.055,-0.07,-0.068,-0.046,-0.066,-0.063,-0.073,-0.066,0.0
