run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.moduleName,"""node""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.moduleDisplayString,"""""",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.autoShutdown,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.manager.margin,25,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.connectionManager.sendDirect,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.connectionManager.maxInterfDist,2600m,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.connectionManager.drawMaxIntfDist,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.mac1609_4.useServiceChannel,false,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.mac1609_4.txPower,100mW,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.sensitivity,-94dBm,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.maxTXPower,100mW,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.useThermalNoise,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.thermalNoise,-95dBm,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.**.nic.phy80211p.usePropagationDelay,true,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].mobility.x,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].mobility.y,0,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,*.node[*].mobility.z,1.895,,,
RandomCoordinatedInjectionNoGui-5-20200606-17:25:09-8700,param,,,**.seed,0,,,
