Time,V2XSpeed,V2XSpeedInj,KFSpeed,KFSpeedInj
12.05,30.59,30.59,30.48777098570262,30.48777098570262
12.15,30.45,30.45,30.48686351354534,30.48686351354534
12.25,30.46,30.46,30.487739731073134,30.487739731073134
12.35,30.58,30.58,30.48838092733647,30.48838092733647
12.45,30.41,30.41,30.48752068450321,30.48752068450321
12.55,30.44,30.44,30.48627979779363,30.48627979779363
12.65,30.54,30.54,30.48787675894569,30.48787675894569
12.75,30.51,30.51,30.48757269098105,30.48757269098105
12.85,30.56,30.56,30.488382269059972,30.488382269059972
12.95,30.47,30.47,30.48931264956551,30.48931264956551
13.05,30.43,30.43,30.48840003580529,30.48840003580529
13.15,30.46,30.46,30.488261603948583,30.488261603948583
13.25,30.42,30.42,30.487030301037166,30.487030301037166
13.35,30.45,30.45,30.48552395027143,30.48552395027143
13.45,30.51,30.51,30.485683817635053,30.485683817635053
13.55,30.54,30.54,30.487029080575937,30.487029080575937
13.65,30.58,30.58,30.488716237974707,30.488716237974707
13.75,30.49,30.49,30.488589664389128,30.488589664389128
13.85,30.48,30.48,30.488970160303232,30.488970160303232
13.95,30.57,30.57,30.489918046986173,30.489918046986173
14.05,30.56,30.56,30.49096729202307,30.49096729202307
14.15,30.57,30.57,30.49317788907126,30.49317788907126
14.25,30.55,30.55,30.495405768118612,30.495405768118612
14.35,30.52,30.52,30.49471433506409,30.49471433506409
14.45,30.58,30.58,30.49518792002,30.49518792002
14.55,30.56,30.56,30.49601379186973,30.49601379186973
14.65,30.54,30.54,30.496989896358947,30.496989896358947
14.75,30.49,30.49,30.495509948884205,30.495509948884205
14.85,30.52,30.52,30.49726891406593,30.49726891406593
14.95,30.57,30.57,30.498104403502023,30.498104403502023
15.05,30.44,30.44,30.496092217711627,30.496092217711627
15.15,30.51,30.51,30.495317871714207,30.495317871714207
15.25,30.45,30.45,30.4932816633755,30.4932816633755
15.35,30.58,30.58,30.49638514661484,30.49638514661484
15.45,30.49,30.49,30.4955343883422,30.4955343883422
15.55,30.48,30.48,30.49535334923632,30.49535334923632
